Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2019,18.0,30.2,23.1,68.0,0.0,8.8,3.0,270.0,1.0,NW
02-07-2019,18.0,30.0,23.7,70.0,0.0,9.3,6.0,180.0,2.0,S 
03-07-2019,19.0,30.8,23.9,70.0,0.0,8.5,5.0,320.0,2.0,E 
04-07-2019,20.0,29.2,23.4,77.0,0.0,8.5,5.0,290.0,2.0,W 
05-07-2019,20.0,29.4,23.9,75.0,8.8,5.3,5.0,130.0,3.0,E 
06-07-2019,21.0,28.6,24.0,75.0,0.0,2.9,3.0,120.0,2.0,SE
07-07-2019,19.0,29.8,23.3,79.0,0.0,4.4,3.0,200.0,1.0,C 
08-07-2019,19.0,29.4,22.9,77.0,3.8,6.2,4.0,120.0,2.0,SE
09-07-2019,19.0,29.6,23.2,74.0,0.8,5.8,4.0,100.0,2.0,E 
10-07-2019,18.0,29.6,22.7,71.0,0.0,8.2,5.0,270.0,2.0,SE
11-07-2019,17.0,29.0,21.9,73.0,0.0,9.2,3.0,130.0,2.0,E 
12-07-2019,16.0,29.2,21.5,73.0,0.0,7.3,4.0,260.0,1.0,C 
13-07-2019,17.0,29.6,22.4,69.0,0.0,8.9,4.0,80.0,2.0,SE
14-07-2019,17.0,29.2,21.8,67.0,0.0,9.4,4.0,150.0,2.0,SE
15-07-2019,17.0,27.8,21.4,71.0,0.0,8.6,5.0,290.0,2.0,C 
16-07-2019,17.0,30.0,21.9,60.0,0.0,7.8,6.0,150.0,3.0,SE
17-07-2019,15.0,29.2,20.9,67.0,0.0,9.4,4.0,160.0,2.0,C 
18-07-2019,15.0,29.8,21.5,68.0,0.0,9.2,5.0,150.0,2.0,E 
19-07-2019,16.0,28.0,23.2,74.0,0.0,9.5,3.0,130.0,2.0,E 
20-07-2019,21.0,29.6,23.8,72.0,0.0,1.5,4.0,120.0,3.0,SE
21-07-2019,21.0,30.4,24.5,70.0,8888.0,3.3,7.0,150.0,2.0,E 
22-07-2019,19.0,30.4,23.3,67.0,0.0,9.3,3.0,70.0,2.0,C 
23-07-2019,18.0,30.8,22.6,62.0,0.0,7.6,5.0,150.0,2.0,C 
24-07-2019,18.0,30.0,23.7,67.0,0.0,9.4,2.0,280.0,1.0,C 
25-07-2019,18.0,30.8,23.2,65.0,0.0,9.0,5.0,130.0,2.0,E 
26-07-2019,18.0,30.6,22.8,74.0,0.0,9.6,4.0,300.0,2.0,W 
27-07-2019,18.0,28.8,22.9,72.0,0.0,9.5,4.0,300.0,2.0,C 
28-07-2019,19.0,32.2,23.9,67.0,0.0,6.6,3.0,120.0,2.0,SE
29-07-2019,18.0,31.0,22.6,63.0,0.0,8.6,4.0,270.0,2.0,SE
30-07-2019,17.0,30.6,22.4,70.0,0.0,9.5,4.0,80.0,1.0,C 
31-07-2019,17.0,30.2,23.5,59.0,0.0,8.4,5.0,130.0,3.0,SE
