Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2020,19.8,30.0,24.2,81.0,19,5.7,6.0,280.0,2.0,W 
02-11-2020,19.6,30.0,24.4,75.0,8888,8.3,5.0,150.0,2.0,C 
03-11-2020,19.5,31.0,24.3,69.0,-,2.1,5.0,320.0,3.0,NW
04-11-2020,20.2,29.6,24.8,78.0,0,7.7,3.0,240.0,2.0,W 
05-11-2020,22.2,27.8,24.0,81.0,0.2,4.5,4.0,280.0,1.0,W 
06-11-2020,20.8,31.6,24.9,64.0,0.8,1.8,6.0,90.0,2.0,E 
07-11-2020,20.8,31.0,24.4,74.0,-,8.8,5.0,130.0,4.0,SE
08-11-2020,20.2,27.2,22.4,77.0,8888,3.6,3.0,30.0,1.0,C 
09-11-2020,19.0,29.8,22.8,78.0,8888,0.8,3.0,270.0,1.0,C 
10-11-2020,19.4,30.4,23.8,78.0,21.5,4.8,5.0,120.0,3.0,E 
11-11-2020,20.0,32.2,24.8,74.0,9,5.8,5.0,110.0,3.0,S 
12-11-2020,20.6,30.8,24.9,77.0,7.6,8.0,2.0,130.0,1.0,C 
13-11-2020,20.2,30.6,24.3,78.0,0,5.7,2.0,150.0,1.0,C 
14-11-2020,20.6,31.0,24.6,77.0,8.5,4.9,4.0,100.0,2.0,W 
15-11-2020,21.0,30.8,24.6,76.0,1.2,6.4,6.0,90.0,3.0,E 
16-11-2020,20.6,30.8,24.5,76.0,0,5.3,5.0,140.0,2.0,E 
17-11-2020,21.4,32.4,26.1,67.0,8888,4.1,4.0,160.0,2.0,SE
18-11-2020,22.4,30.4,25.6,72.0,0,8.7,5.0,120.0,1.0,C 
19-11-2020,20.8,31.4,24.5,76.0,-,2.3,3.0,140.0,2.0,C 
20-11-2020,21.4,31.4,24.0,81.0,3.2,4.2,4.0,200.0,2.0,SE
21-11-2020,21.1,27.4,22.4,93.0,15.4,3.5,4.0,20.0,1.0,C 
22-11-2020,19.6,29.0,22.5,87.0,45.8,2.1,3.0,250.0,1.0,SE
23-11-2020,19.8,28.6,22.9,86.0,5.6,5.0,5.0,270.0,2.0,C 
24-11-2020,20.4,28.9,23.3,82.0,2.9,3.3,5.0,100.0,1.0,C 
25-11-2020,19.8,30.8,23.0,83.0,7,3.5,5.0,180.0,2.0,C 
26-11-2020,18.0,30.2,23.2,71.0,46.8,5.8,4.0,270.0,2.0,NW
27-11-2020,18.4,31.6,25.0,66.0,1,7.1,3.0,150.0,1.0,C 
28-11-2020,21.2,26.6,23.2,88.0,1,5.2,2.0,300.0,0.0,C 
29-11-2020,20.8,28.4,23.5,75.0,10.2,0.5,5.0,250.0,1.0,C 
30-11-2020,21.0,28.6,23.2,83.0,0.6,0.6,6.0,270.0,2.0,W 
