Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2020,-,30.4,24.8,69.0,0,9.0,7.0,30.0,3.0,NE
02-10-2020,20.3,31.5,25.2,65.0,-,7.1,5.0,280.0,3.0,E 
03-10-2020,22,30.2,24.9,75.0,0.2,6.0,4.0,90.0,2.0,SE
04-10-2020,21,30.6,28.9,46.0,1,4.7,5.0,120.0,2.0,SE
05-10-2020,21,30,24.3,69.0,0,8.6,8.0,120.0,3.0,E 
06-10-2020,19.8,30.2,23.8,73.0,2.6,5.1,5.0,150.0,4.0,SE
07-10-2020,19.6,30,24.4,72.0,0,5.0,5.0,30.0,2.0,SE
08-10-2020,20.4,30,24.2,70.0,0,7.7,3.0,70.0,1.0,C 
09-10-2020,21,28.6,23.8,80.0,0,3.7,5.0,110.0,2.0,W 
10-10-2020,20.3,30.2,23.5,80.0,2.4,4.5,5.0,130.0,3.0,SE
11-10-2020,20.6,31,25.5,66.0,0,1.5,5.0,120.0,2.0,NE
12-10-2020,21,30.2,24.2,69.0,0,5.6,4.0,70.0,1.0,E 
13-10-2020,21,30,25.1,71.0,0,4.4,5.0,110.0,2.0,C 
14-10-2020,20,32,24.9,70.0,-,4.9,5.0,160.0,3.0,SE
15-10-2020,20,29.6,25.0,70.0,0,7.2,4.0,240.0,2.0,SW
16-10-2020,21.6,30.6,23.8,76.0,8888,6.0,4.0,150.0,2.0,C 
17-10-2020,20.4,28.6,23.2,81.0,32,5.1,5.0,160.0,2.0,E 
18-10-2020,20.9,29,23.5,82.0,8888,3.2,8.0,170.0,2.0,SE
19-10-2020,20,27.8,22.8,84.0,27,4.8,3.0,270.0,1.0,C 
20-10-2020,19.8,27.6,21.6,94.0,3.1,1.2,3.0,290.0,1.0,W 
21-10-2020,20.4,29,23.3,88.0,53.4,3.5,3.0,240.0,1.0,C 
22-10-2020,20.4,27.8,22.2,92.0,11,1.6,5.0,320.0,2.0,N 
23-10-2020,20.6,28.2,23.0,88.0,25,4.0,2.0,120.0,1.0,C 
24-10-2020,19.6,-,22.6,87.0,6.8,2.9,4.0,280.0,1.0,C 
25-10-2020,19.8,27.2,21.8,94.0,40.6,5.2,3.0,210.0,1.0,C 
26-10-2020,20,29.5,22.9,84.0,68.2,3.6,4.0,350.0,2.0,SE
27-10-2020,20.2,27.2,22.5,88.0,9.5,3.5,2.0,270.0,1.0,C 
28-10-2020,19,28.8,23.5,83.0,25.7,2.1,4.0,270.0,1.0,C 
29-10-2020,19.4,28.8,23.0,84.0,10.4,5.9,4.0,120.0,1.0,C 
30-10-2020,19.8,27.4,23.0,81.0,4,4.1,3.0,150.0,2.0,E 
31-10-2020,20.4,29.8,23.0,85.0,4.4,1.9,5.0,240.0,1.0,SE
