Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2020,18.6,31.2,27.2,53.0,0,7.8,3.0,90.0,2.0,E 
02-09-2020,18.6,28.0,25.2,67.0,0,9.2,3.0,90.0,1.0,C 
03-09-2020,20.2,28.6,26.2,66.0,8888,2.6,5.0,120.0,2.0,E 
04-09-2020,21.8,31.2,27.8,58.0,-,3.2,4.0,190.0,2.0,S 
05-09-2020,21.8,32.2,28.1,55.0,0,7.8,7.0,110.0,3.0,E 
06-09-2020,19.8,31.0,27.4,56.0,0,8.7,5.0,150.0,1.0,C 
07-09-2020,19.0,32.0,27.3,52.0,0,7.8,5.0,120.0,2.0,NE
08-09-2020,19.3,30.2,26.9,54.0,-,7.9,5.0,140.0,3.0,E 
09-09-2020,19.2,30.6,27.4,55.0,0,8.0,3.0,120.0,1.0,E 
10-09-2020,21.0,30.0,27.1,58.0,0,6.0,4.0,150.0,2.0,SE
11-09-2020,21.2,31.0,27.5,57.0,0,5.8,5.0,60.0,2.0,NE
12-09-2020,19.7,31.6,27.2,52.0,-,7.2,5.0,90.0,3.0,E 
13-09-2020,19.8,29.0,26.6,57.0,0,7.5,2.0,270.0,2.0,W 
14-09-2020,19.6,29.8,26.0,66.0,12.5,5.1,3.0,120.0,1.0,C 
15-09-2020,19.8,30.4,25.9,64.0,2.6,6.4,4.0,270.0,1.0,C 
16-09-2020,15.9,30.4,26.1,48.0,12,5.9,5.0,200.0,3.0,E 
17-09-2020,19.4,29.6,25.8,57.0,0,7.5,5.0,360.0,2.0,NE
18-09-2020,19.2,29.2,26.5,57.0,0,5.1,2.0,150.0,1.0,C 
19-09-2020,19.0,32.0,28.3,49.0,0,5.4,5.0,120.0,3.0,NE
20-09-2020,21.2,29.2,24.8,74.0,-,9.1,5.0,140.0,2.0,C 
21-09-2020,19.4,29.6,25.7,70.0,6.4,2.2,3.0,60.0,1.0,W 
22-09-2020,19.6,29.0,25.2,74.0,3.6,4.7,5.0,140.0,2.0,C 
23-09-2020,19.3,31.6,26.9,64.0,27.2,3.2,4.0,170.0,2.0,S 
24-09-2020,21.4,33.0,28.9,51.0,0,6.3,5.0,120.0,2.0,SE
25-09-2020,21.4,31.6,28.3,49.0,8888,9.1,4.0,120.0,2.0,SE
26-09-2020,20.0,32.2,27.7,55.0,0,7.9,5.0,150.0,2.0,SE
27-09-2020,20.6,29.6,25.3,72.0,0,7.4,4.0,50.0,2.0,C 
28-09-2020,19.8,30.8,26.8,58.0,23.4,4.0,8.0,110.0,5.0,E 
29-09-2020,20.8,31.2,27.8,53.0,-,7.9,8.0,120.0,4.0,SE
30-09-2020,20.2,31.4,27.9,54.0,0,8.9,3.0,90.0,2.0,E 
