Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2021,20.8,30.2,26.6,64.0,1.2,3.7,3.0,200.0,1.0,C 
02-12-2021,21.0,31.6,28.0,61.0,0.3,4.9,4.0,240.0,2.0,W 
03-12-2021,21.0,30.2,27.2,62.0,2,9.3,3.0,260.0,2.0,W 
04-12-2021,21.7,25.0,23.0,80.0,3.8,5.9,3.0,260.0,1.0,C 
05-12-2021,20.8,27.2,24.6,72.0,0.6,0.0,3.0,260.0,1.0,SW
06-12-2021,21.4,30.0,26.6,63.0,8888,0.5,6.0,290.0,3.0,W 
07-12-2021,20.6,26.2,23.5,83.0,9.6,4.6,4.0,280.0,2.0,W 
08-12-2021,21.2,30.4,27.2,64.0,3.6,0.7,5.0,260.0,2.0,SW
09-12-2021,21.4,30.8,26.0,73.0,0.2,9.0,4.0,300.0,1.0,C 
10-12-2021,20.9,30.0,25.8,71.0,8.6,5.9,4.0,200.0,1.0,C 
11-12-2021,21.0,28.8,24.7,80.0,12,6.7,3.0,260.0,1.0,C 
12-12-2021,20.4,29.5,25.4,74.0,8.9,4.0,3.0,270.0,1.0,C 
13-12-2021,19.4,30.8,25.9,70.0,2.2,4.4,3.0,80.0,1.0,C 
14-12-2021,20.0,29.6,26.0,69.0,23,6.3,5.0,300.0,1.0,C 
15-12-2021,21.0,29.6,26.0,72.0,0,4.0,2.0,250.0,1.0,C 
16-12-2021,21.4,27.6,24.9,82.0,25.4,3.9,4.0,120.0,1.0,C 
17-12-2021,21.2,30.0,25.1,79.0,6.4,1.3,3.0,320.0,0.0,C 
18-12-2021,20.8,31.0,26.3,68.0,12.6,3.7,2.0,190.0,0.0,C 
19-12-2021,19.6,30.0,26.6,68.0,3,4.6,3.0,220.0,1.0,C 
20-12-2021,19.5,28.8,25.2,75.0,1,6.0,1.0,130.0,0.0,C 
21-12-2021,19.5,25.0,23.2,88.0,4.8,0.2,2.0,220.0,0.0,C 
22-12-2021,19.8,28.6,25.1,74.0,17,0.0,6.0,260.0,1.0,C 
23-12-2021,21.0,28.6,24.5,80.0,31.3,2.5,2.0,300.0,1.0,C 
24-12-2021,20.6,30.0,25.9,67.0,3.1,3.4,3.0,260.0,1.0,C 
25-12-2021,20.4,29.6,25.2,74.0,8888,5.8,2.0,190.0,1.0,C 
26-12-2021,20.8,30.4,26.7,65.0,0.9,3.1,3.0,230.0,1.0,C 
27-12-2021,21.0,30.8,26.1,71.0,0.3,5.8,4.0,220.0,1.0,C 
28-12-2021,19.8,30.2,25.5,72.0,13.8,5.6,4.0,220.0,1.0,C 
29-12-2021,20.3,29.6,26.0,70.0,-,6.0,4.0,280.0,2.0,W 
30-12-2021,20.2,29.6,25.8,72.0,2.9,3.0,4.0,240.0,1.0,C 
31-12-2021,20.9,29.8,26.5,68.0,0,2.4,3.0,300.0,2.0,W 
