Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2021,22,32.2,25.9,65.0,0,4.0,5.0,290.0,3.0,NW
02-03-2021,22,30.0,24.7,77.0,0.5,7.3,6.0,310.0,2.0,W 
03-03-2021,21.6,30.2,23.9,80.0,0.2,6.1,6.0,240.0,2.0,C 
04-03-2021,20,30.2,23.8,81.0,30.2,5.5,3.0,280.0,1.0,C 
05-03-2021,-,31.0,23.3,79.0,2.8,5.3,5.0,210.0,2.0,W 
06-03-2021,20,30.4,23.4,83.0,29.6,3.9,6.0,290.0,2.0,C 
07-03-2021,20.4,28.8,23.5,79.0,12.8,5.8,5.0,280.0,1.0,C 
08-03-2021,20.6,28.4,22.9,83.0,4.5,0.4,3.0,270.0,1.0,C 
09-03-2021,20,28.2,23.0,78.0,19.1,3.2,6.0,310.0,3.0,W 
10-03-2021,19.8,28.0,23.0,80.0,-,4.1,5.0,340.0,2.0,W 
11-03-2021,20.2,28.4,23.9,76.0,-,4.3,6.0,290.0,3.0,W 
12-03-2021,20.8,30.2,23.9,83.0,13.2,7.5,6.0,270.0,1.0,C 
13-03-2021,21.2,30.4,24.2,65.0,3.5,4.9,7.0,270.0,3.0,NW
14-03-2021,20.5,30.2,24.1,67.0,0,6.1,6.0,300.0,3.0,NW
15-03-2021,20.5,28.4,23.9,76.0,-,7.5,3.0,80.0,2.0,W 
16-03-2021,21.5,28.4,22.9,84.0,-,1.2,2.0,350.0,1.0,C 
17-03-2021,19.6,28.2,22.6,87.0,0.6,2.1,3.0,280.0,2.0,W 
18-03-2021,20.2,28.8,22.5,84.0,20,2.2,5.0,330.0,1.0,C 
19-03-2021,19.7,30.8,23.4,82.0,56.2,3.5,5.0,230.0,2.0,C 
20-03-2021,19.2,28.9,22.8,83.0,2.2,6.1,5.0,290.0,2.0,W 
21-03-2021,20.2,31.2,23.9,78.0,-,3.7,5.0,300.0,2.0,NW
22-03-2021,21.4,30.4,23.9,83.0,4,7.4,3.0,280.0,1.0,W 
23-03-2021,21,31.0,24.1,81.0,7.8,4.6,6.0,330.0,2.0,C 
24-03-2021,20.8,29.6,22.7,89.0,1.4,6.8,5.0,330.0,1.0,C 
25-03-2021,20.4,31.0,23.3,81.0,18.3,4.1,5.0,20.0,2.0,C 
26-03-2021,19.2,30.0,23.6,82.0,10.7,6.3,3.0,220.0,2.0,E 
27-03-2021,19.5,28.4,23.9,86.0,5.3,5.5,7.0,320.0,1.0,C 
28-03-2021,21.1,30.6,23.8,83.0,18.7,2.7,3.0,300.0,1.0,C 
29-03-2021,20.6,30.4,24.0,84.0,32.4,6.4,5.0,260.0,3.0,W 
30-03-2021,22.2,28.9,24.3,86.0,6.8,6.0,2.0,330.0,1.0,NW
31-03-2021,20.6,29.6,23.9,84.0,8.2,1.8,3.0,150.0,1.0,C 
