Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2022,19.2,30.2,24.4,78.0,-,8.7,4.0,270.0,1.0,C 
02-06-2022,21.4,28.6,24.1,83.0,8888,7.7,4.0,210.0,1.0,C 
03-06-2022,19.2,29,22.7,82.0,0.8,1.7,2.0,90.0,1.0,C 
04-06-2022,20.4,28.4,23.3,83.0,7.8,4.5,3.0,210.0,0.0,C 
05-06-2022,20.2,28.8,23.1,84.0,1.2,4.5,2.0,210.0,0.0,C 
06-06-2022,19.6,26.4,21.5,89.0,16,5.5,1.0,100.0,0.0,C 
07-06-2022,19.6,28,22.8,85.0,10.5,0.4,2.0,300.0,1.0,C 
08-06-2022,19.8,27.4,22.7,86.0,8888,5.8,3.0,260.0,1.0,C 
09-06-2022,19.7,28.2,22.4,84.0,1.7,4.3,3.0,230.0,1.0,C 
10-06-2022,19.4,30,23.3,77.0,-,2.9,3.0,110.0,1.0,C 
11-06-2022,19.3,27.8,23.1,84.0,0,6.5,2.0,70.0,1.0,C 
12-06-2022,20.0,28.6,22.9,85.0,19,4.2,2.0,90.0,0.0,C 
13-06-2022,19.3,28.4,22.9,85.0,27,4.7,2.0,250.0,0.0,C 
14-06-2022,20.0,29.2,23.8,83.0,2.8,5.2,3.0,90.0,1.0,C 
15-06-2022,20.0,26.8,23.5,82.0,0.2,4.2,2.0,120.0,1.0,C 
16-06-2022,19.2,26.8,22.2,84.0,8888,0.3,2.0,120.0,1.0,C 
17-06-2022,19.8,26.4,22.2,88.0,8888,0.8,2.0,130.0,0.0,C 
18-06-2022,19.4,-,22.0,84.0,8888,0.0,3.0,250.0,1.0,C 
19-06-2022,19.0,28.4,22.8,84.0,0.4,5.0,3.0,250.0,1.0,E 
20-06-2022,19.2,29,22.9,82.0,0,6.0,3.0,100.0,1.0,C 
21-06-2022,19.0,29,22.4,84.0,11.8,5.0,5.0,100.0,2.0,E 
22-06-2022,19.0,29.4,23.5,78.0,0,7.4,4.0,100.0,2.0,E 
23-06-2022,19.5,29.6,23.4,73.0,0.6,7.4,3.0,100.0,1.0,C 
24-06-2022,19.8,28.6,22.8,79.0,0,8.3,3.0,100.0,1.0,E 
25-06-2022,18.8,27.6,22.3,80.0,-,5.1,3.0,110.0,1.0,W 
26-06-2022,19.0,25.8,21.8,91.0,0,4.3,2.0,290.0,0.0,C 
27-06-2022,20.6,28.2,23.1,86.0,33.4,0.2,3.0,250.0,1.0,C 
28-06-2022,19.4,28.6,23.1,78.0,17.4,3.3,3.0,90.0,2.0,E 
29-06-2022,19.0,29.4,23.1,73.0,-,8.3,2.0,250.0,1.0,C 
30-06-2022,17.6,29.2,22.3,72.0,-,9.8,3.0,60.0,1.0,C 
