Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2023,21.3,27.0,23.1,83.0,0,3.6,3.0,217.0,0.0,C 
02-04-2023,20,31.0,23.6,78.0,0.8,3.3,3.0,245.0,0.0,C 
03-04-2023,20.2,30.6,23.8,78.0,19.7,5.7,3.0,298.0,1.0,NW
04-04-2023,20.2,30.8,24.4,71.0,8888,6.7,4.0,290.0,1.0,C 
05-04-2023,20.4,31.2,24.8,67.0,0,8.0,4.0,270.0,1.0,C 
06-04-2023,21.2,31.0,25.0,64.0,0,7.8,4.0,230.0,1.0,C 
07-04-2023,20.2,30.0,24.4,67.0,0,8.6,3.0,190.0,1.0,C 
08-04-2023,20,31.6,24.5,70.0,-,6.0,4.0,240.0,1.0,C 
09-04-2023,20,30.2,24.7,74.0,0,8.9,4.0,290.0,1.0,W 
10-04-2023,21.2,27.6,23.8,81.0,0,6.4,3.0,233.0,1.0,C 
11-04-2023,20.8,31.0,24.8,78.0,10.8,2.5,3.0,350.0,1.0,C 
12-04-2023,20.6,31.6,25.0,72.0,-,7.8,4.0,250.0,1.0,C 
13-04-2023,20.8,27.6,23.7,83.0,11.7,6.3,2.0,90.0,0.0,C 
14-04-2023,19,30.2,23.6,82.0,0,1.4,5.0,120.0,0.0,C 
15-04-2023,20.4,31.0,24.5,79.0,6.8,3.2,3.0,83.0,1.0,C 
16-04-2023,-,30.4,24.5,80.0,0,6.8,3.0,240.0,1.0,C 
17-04-2023,21.8,32.0,24.8,84.0,45.5,5.0,4.0,224.0,0.0,C 
18-04-2023,22,30.4,24.8,83.0,9.8,6.6,2.0,100.0,0.0,C 
19-04-2023,21.6,29.8,24.3,81.0,0.6,4.6,1.0,50.0,0.0,C 
20-04-2023,21.4,28.8,24.1,86.0,23,3.7,4.0,50.0,0.0,C 
21-04-2023,21.8,29.4,23.9,85.0,2.7,5.0,2.0,250.0,0.0,C 
22-04-2023,21.2,29.2,23.2,86.0,12.2,4.3,2.0,229.0,0.0,C 
23-04-2023,20.4,30.0,23.5,84.0,5.2,4.7,3.0,200.0,1.0,C 
24-04-2023,20.2,31.2,23.5,85.0,0.8,5.0,2.0,13.0,0.0,C 
25-04-2023,20.4,28.6,22.8,91.0,27.2,5.3,2.0,268.0,0.0,C 
26-04-2023,20.4,29.4,22.9,86.0,8,3.4,2.0,10.0,0.0,C 
27-04-2023,19.6,29.6,23.5,86.0,82.8,4.6,3.0,60.0,0.0,C 
28-04-2023,21,30.0,24.3,80.0,4.2,5.2,2.0,206.0,0.0,C 
29-04-2023,21,30.2,24.3,81.0,3.7,4.2,4.0,245.0,1.0,C 
30-04-2023,20.8,31.6,25.2,77.0,0,3.2,3.0,220.0,1.0,C 
