Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2023,17.6,31.2,23.9,69.0,0,7.2,2.0,40.0,0.0,C 
02-08-2023,17.4,30.2,24.3,75.0,0,7.7,1.0,312.0,0.0,C 
03-08-2023,20.4,30.4,23.6,82.0,8888,1.4,3.0,196.0,1.0,C 
04-08-2023,19.4,32.0,24.1,73.0,12.2,6.6,2.0,80.0,1.0,C 
05-08-2023,19.2,31.2,24.1,71.0,0,8.3,3.0,260.0,1.0,C 
06-08-2023,19.2,29.4,22.9,76.0,0,7.5,3.0,110.0,1.0,C 
07-08-2023,19.0,30.4,23.3,75.0,4.7,5.7,3.0,100.0,1.0,C 
08-08-2023,19.0,30.6,23.6,76.0,7.5,6.7,3.0,222.0,0.0,C 
09-08-2023,18.4,31.0,23.4,70.0,5.3,5.3,3.0,16.0,1.0,C 
10-08-2023,18.4,31.0,24.3,72.0,-,7.9,4.0,250.0,1.0,C 
11-08-2023,19.6,31.4,24.2,68.0,0,8.1,3.0,230.0,1.0,C 
12-08-2023,18.0,31.0,23.1,63.0,0,8.0,4.0,244.0,1.0,C 
13-08-2023,18.6,30.4,23.4,67.0,0,8.6,3.0,210.0,1.0,SW
14-08-2023,18.4,31.2,23.4,68.0,0,8.1,4.0,230.0,1.0,C 
15-08-2023,18.6,31.2,24.0,68.0,0,8.7,4.0,250.0,1.0,C 
16-08-2023,19.2,31.4,24.1,63.0,0,8.7,3.0,90.0,1.0,E 
17-08-2023,18.6,31.4,23.6,66.0,0,8.6,6.0,84.0,1.0,E 
18-08-2023,19.7,31.0,23.7,70.0,0,8.0,3.0,200.0,1.0,C 
19-08-2023,19.2,31.4,24.2,70.0,0,7.8,4.0,240.0,1.0,C 
20-08-2023,19.4,31.3,25.3,69.0,0,8.7,3.0,260.0,1.0,C 
21-08-2023,19.2,32.2,23.9,65.0,0,8.0,3.0,217.0,1.0,C 
22-08-2023,19.2,31.2,23.6,71.0,-,9.3,4.0,350.0,1.0,C 
23-08-2023,18.8,29.2,22.8,75.0,0,7.0,3.0,30.0,1.0,C 
24-08-2023,18.6,31.4,24.0,70.0,0,5.7,3.0,220.0,1.0,C 
25-08-2023,18.6,33.4,26.0,62.0,-,7.8,2.0,40.0,1.0,C 
26-08-2023,20.6,31.4,25.0,71.0,0,7.5,2.0,240.0,1.0,C 
27-08-2023,20.0,30.4,24.7,73.0,0,7.5,3.0,90.0,1.0,C 
28-08-2023,20.3,29.6,23.6,72.0,-,6.4,3.0,250.0,1.0,C 
29-08-2023,19.2,29.8,23.1,76.0,8888,6.3,3.0,40.0,1.0,C 
30-08-2023,18.5,30.8,23.8,65.0,-,7.0,2.0,120.0,1.0,C 
31-08-2023,18.0,31.4,23.3,65.0,-,7.2,3.0,250.0,1.0,C 
