Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2024,19.9,30.0,24.2,81.0,10.8,4.5,3.0,300.0,1.0,C 
02-02-2024,21.2,30.6,24.7,80.0,5.6,5.0,3.0,270.0,1.0,C 
03-02-2024,20.6,31.0,24.0,80.0,17.4,4.4,6.0,210.0,1.0,C 
04-02-2024,20.4,29.2,24.4,76.0,0.0,4.6,5.0,260.0,1.0,C 
05-02-2024,20.8,31.2,24.4,79.0,0.2,4.8,5.0,280.0,1.0,C 
06-02-2024,20.8,28.4,23.5,78.0,3.6,5.4,5.0,210.0,1.0,C 
07-02-2024,20.8,29.2,23.6,78.0,0.8,2.8,3.0,300.0,1.0,C 
08-02-2024,21.0,31.4,25.7,72.0,0.5,2.8,5.0,230.0,1.0,C 
09-02-2024,20.8,31.6,25.9,74.0,0.0,8.2,2.0,270.0,0.0,C 
10-02-2024,20.7,30.2,24.3,82.0,8888.0,8.2,5.0,260.0,1.0,C 
11-02-2024,21.0,30.4,24.7,79.0,9.0,4.0,5.0,190.0,1.0,C 
12-02-2024,20.8,30.2,25.5,74.0,1.2,6.4,4.0,260.0,1.0,C 
13-02-2024,20.6,30.6,25.5,74.0,8888.0,8.6,4.0,200.0,1.0,C 
14-02-2024,22.0,28.8,24.5,83.0,0.0,7.4,3.0,290.0,0.0,C 
15-02-2024,21.8,29.4,23.6,86.0,2.8,1.3,4.0,170.0,0.0,C 
16-02-2024,21.2,29.8,24.0,86.0,46.4,2.1,4.0,240.0,0.0,C 
17-02-2024,21.4,29.8,23.9,87.0,7.3,3.3,3.0,240.0,0.0,C 
18-02-2024,21.0,31.0,23.7,85.0,18.6,5.0,5.0,230.0,1.0,C 
19-02-2024,20.4,29.6,24.5,84.0,26.3,5.5,3.0,280.0,0.0,C 
20-02-2024,20.8,31.0,24.9,83.0,5.5,3.3,3.0,230.0,0.0,C 
21-02-2024,21.0,31.0,24.5,81.0,10.9,5.1,4.0,290.0,1.0,C 
22-02-2024,20.9,31.6,25.5,74.0,13.0,4.8,4.0,300.0,1.0,C 
23-02-2024,20.8,31.2,25.6,75.0,6.5,7.8,4.0,240.0,1.0,C 
24-02-2024,20.7,29.4,24.6,83.0,5.4,5.5,12.0,240.0,1.0,C 
25-02-2024,22.0,28.4,23.8,85.0,29.0,3.9,3.0,200.0,0.0,C 
26-02-2024,21.4,30.2,25.4,78.0,4.5,1.1,3.0,230.0,1.0,C 
27-02-2024,21.2,31.6,24.9,82.0,0.2,6.3,4.0,240.0,0.0,C 
28-02-2024,21.2,28.8,23.9,87.0,29.3,4.9,4.0,300.0,0.0,C 
29-02-2024,21.6,29.0,24.7,83.0,8.2,0.5,3.0,210.0,1.0,C 
