Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2024,21.8,30.0,26.1,81.0,8888,5.2,2.0,240.0,0.0,C 
02-05-2024,21.8,32.2,26.1,73.0,5,6.0,2.0,120.0,0.0,C 
03-05-2024,22.0,32.0,26.2,73.0,-,5.3,2.0,80.0,0.0,C 
04-05-2024,21.4,31.6,25.1,76.0,-,6.7,3.0,120.0,1.0,C 
05-05-2024,21.2,31.2,25.5,72.0,1.7,6.4,5.0,220.0,0.0,C 
06-05-2024,20.8,31.0,25.7,68.0,0,7.0,3.0,230.0,1.0,C 
07-05-2024,20.7,32.0,26.2,66.0,-,7.4,3.0,300.0,0.0,C 
08-05-2024,20.6,31.4,25.7,73.0,-,8.0,2.0,230.0,0.0,C 
09-05-2024,21.2,29.8,25.3,77.0,9.6,4.9,4.0,130.0,0.0,C 
10-05-2024,20.6,31.2,25.8,74.0,0.2,5.3,3.0,214.0,0.0,C 
11-05-2024,21.4,29.6,24.8,76.0,-,6.8,2.0,240.0,0.0,C 
12-05-2024,21.6,32.1,26.2,73.0,0,3.4,3.0,60.0,1.0,C 
13-05-2024,21.2,29.4,25.6,77.0,0,6.5,3.0,60.0,0.0,C 
14-05-2024,21.2,30.4,24.9,73.0,8888,4.0,2.0,100.0,0.0,C 
15-05-2024,20.2,30.6,25.9,74.0,-,4.3,2.0,210.0,0.0,C 
16-05-2024,19.8,31.6,26.3,70.0,0,6.4,2.0,250.0,0.0,C 
17-05-2024,21.4,29.8,24.7,76.0,-,8.0,2.0,70.0,0.0,C 
18-05-2024,20.6,30.2,25.2,75.0,16.8,5.5,3.0,241.0,0.0,C 
19-05-2024,20.8,30.6,25.0,66.0,-,6.2,3.0,100.0,1.0,C 
20-05-2024,21.4,31.0,25.9,70.0,0,6.4,2.0,50.0,0.0,C 
21-05-2024,20.6,30.7,26.2,74.0,-,5.8,3.0,100.0,1.0,C 
22-05-2024,21.2,30.6,26.0,74.0,0,5.6,2.0,272.0,0.0,C 
23-05-2024,21.6,31.0,25.8,78.0,-,4.7,3.0,260.0,0.0,C 
24-05-2024,22.0,31.2,24.4,86.0,0.2,6.3,2.0,250.0,0.0,C 
25-05-2024,22.2,26.4,24.0,86.0,34.7,1.1,1.0,240.0,0.0,C 
26-05-2024,22.2,31.2,25.2,77.0,1.6,0.0,2.0,274.0,0.0,C 
27-05-2024,21.0,31.6,26.3,74.0,-,4.5,3.0,190.0,0.0,C 
28-05-2024,21.1,31.0,26.2,72.0,0,8.0,2.0,260.0,0.0,C 
29-05-2024,22.0,31.0,26.1,73.0,0,6.6,2.0,200.0,0.0,C 
30-05-2024,21.8,32.4,26.5,69.0,0,6.4,3.0,246.0,1.0,C 
31-05-2024,21.4,31.8,25.7,76.0,-,7.6,0.0,0.0,0.0,C 
