TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
01-01-2000;25;31,2;27,8;76;0;0,2;8;45;4;NW
02-01-2000;25;31,2;27,3;80;1,7;0,7;12;360;6;N 
03-01-2000;25;31,4;27,6;77;2,5;1,6;11;360;5;SE
04-01-2000;25;31,5;27,2;81;0;2,5;12;45;6;NE
05-01-2000;25;31,3;26,9;82;12,5;0;14;225;6;SW
06-01-2000;24;31,9;26,7;78;21,4;1,8;15;315;5;SW
07-01-2000;25;29,8;25,9;86;7,6;0;11;270;5;SW
08-01-2000;24;29,8;25,7;86;15,6;0;7;225;3;SW
09-01-2000;23;32;27,3;79;5,4;4,2;8;225;3;SW
10-01-2000;23;32,4;27,7;76;10;6,7;11;225;0;N 
11-01-2000;24;30,8;26,6;84;18,8;0;6;270;3;NW
12-01-2000;24;33,5;27,5;76;0,8;6,6;13;315;4;SW
13-01-2000;25;33;27,8;74;0,5;2;10;225;4;N 
14-01-2000;24;30,3;26,6;83;7,2;2;9;315;3;SW
15-01-2000;25;28,3;28,1;77;38,8;6,3;9;225;3;SW
16-01-2000;24;32,1;28,2;76;20,2;5,8;14;225;8;SW
17-01-2000;23;27,9;25,7;-;1,8;0;14;225;8;SW
18-01-2000;24;27,5;25,9;85;5,4;0;15;225;7;SW
19-01-2000;24;29,7;27,2;75;21,5;0,5;12;225;6;SW
20-01-2000;24;27,9;25,3;90;0;0;13;315;7;SW
21-01-2000;27;31;27,6;80;29,2;5,6;14;315;8;NW
22-01-2000;25;30,9;28,6;71;0,1;3,8;14;315;6;NW
23-01-2000;26;31,8;28,3;71;0;6,5;9;270;5;SW
24-01-2000;24;31;28,6;76;27,7;1,5;11;315;5;W 
25-01-2000;23;32,1;28,3;80;0,1;4,5;15;270;8;W 
26-01-2000;23;28,9;25,7;86;60,2;0;17;270;8;NW
27-01-2000;23;29,9;26,3;86;65,2;0,8;17;315;10;NW
28-01-2000;24;30,8;28;76;5,8;2,5;11;315;7;N 
29-01-2000;24;32;28,8;71;1;4,6;11;315;6;NW
30-01-2000;25;28,9;26,2;87;62,8;0;8;315;5;SW
31-01-2000;25;31,4;26,8;84;36,3;0;13;315;6;SW
01-02-2000;24;30,9;27,5;79;5,2;1;13;270;7;NW
02-02-2000;24;30,6;27,7;76;20,9;3,1;13;315;9;NW
03-02-2000;24;30,9;26,4;84;32,5;3,4;17;315;9;NW
04-02-2000;24;31,4;26,6;78;41,3;7;9;225;6;W 
05-02-2000;24;31;27,2;80;1,8;4,6;9;270;4;NW
06-02-2000;23;28,4;25,9;87;44,8;2;13;315;5;NW
07-02-2000;23;27,5;24,6;94;24,5;1,8;17;225;7;SW
08-02-2000;23;26,6;25,5;88;54,1;0;14;225;7;SW
09-02-2000;24;29;25,6;84;4,3;0;11;270;5;SW
10-02-2000;24;31,3;26;82;1,5;2,3;11;225;6;SW
11-02-2000;24;30,2;26,2;78;58,9;2,4;11;315;6;NW
12-02-2000;24;31,5;26,5;84;0;1;10;270;5;NW
13-02-2000;26;30,3;27,6;74;0;1,8;14;315;5;NW
14-02-2000;26;32,2;28,1;80;0;7,4;12;315;4;NW
15-02-2000;26;31,5;28,2;78;0,1;2,4;8;315;4;NW
16-02-2000;26;32;28,2;78;0;6,2;13;315;4;NW
17-02-2000;26;32,7;28;74;0;8;17;225;10;SW
18-02-2000;25;31,8;28;76;3,9;3,3;14;270;5;NW
19-02-2000;24;31,7;27,6;79;8,5;5;7;360;3;NW
20-02-2000;25;30,8;26,6;81;0;0;8;270;3;NW
21-02-2000;25;32,6;28,3;78;8888;1,8;9;315;4;NW
22-02-2000;24;33,1;28,5;74;9,7;6,4;9;360;4;NW
23-02-2000;25;32,2;27,6;84;0;5,4;13;225;8;NW
24-02-2000;26;30,2;27,7;71;8888;4;15;270;10;SW
25-02-2000;25;30,9;27,5;70;2,2;1;14;315;6;SW
26-02-2000;25;29,8;27,3;78;8888;0;13;315;6;SW
27-02-2000;25;31;27,9;72;0;4,8;12;315;6;SW
28-02-2000;25;30,2;27,8;68;0;2,1;9;315;6;SW
29-02-2000;26;32,4;28,4;67;0;2,9;12;225;7;SW
