Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2019,21.8,28.0,23.0,79.0,0.0,1.7,3.0,280.0,2.0,W 
02-01-2019,20.8,31.0,24.0,74.0,13.5,1.9,8.0,250.0,4.0,W 
03-01-2019,20.7,30.6,24.1,76.0,0.8,7.2,7.0,260.0,4.0,W 
04-01-2019,20.0,30.8,24.2,69.0,0.0,5.5,5.0,210.0,3.0,W 
05-01-2019,20.0,31.7,24.8,70.0,0.0,8.5,5.0,300.0,3.0,C 
06-01-2019,20.9,30.4,24.7,74.0,0.0,9.0,5.0,120.0,2.0,SE
07-01-2019,21.2,29.8,24.5,79.0,0.0,4.9,2.0,140.0,1.0,C 
08-01-2019,21.2,29.6,23.8,84.0,32.2,3.5,4.0,270.0,1.0,C 
09-01-2019,21.2,28.8,23.6,85.0,18.9,3.1,4.0,270.0,2.0,C 
10-01-2019,20.2,29.2,23.7,82.0,5.1,4.7,5.0,120.0,1.0,C 
11-01-2019,20.2,30.2,23.3,85.0,4.7,3.4,5.0,280.0,2.0,C 
12-01-2019,20.0,30.4,23.8,82.0,2.5,5.4,5.0,240.0,2.0,C 
13-01-2019,20.4,29.2,22.6,87.0,21.0,7.5,5.0,240.0,1.0,C 
14-01-2019,19.2,26.6,22.5,85.0,83.3,3.2,4.0,280.0,1.0,C 
15-01-2019,19.0,29.4,24.0,82.0,4.4,0.8,5.0,300.0,1.0,C 
16-01-2019,21.2,28.0,24.1,78.0,3.3,5.8,6.0,300.0,4.0,NW
17-01-2019,21.8,28.8,24.4,76.0,0.0,1.4,6.0,260.0,3.0,W 
18-01-2019,20.8,29.4,23.7,83.0,4.5,4.4,6.0,270.0,2.0,W 
19-01-2019,21.0,29.4,24.0,80.0,4.8,6.2,5.0,280.0,2.0,W 
20-01-2019,20.7,30.2,24.0,80.0,0.2,5.0,6.0,300.0,2.0,NW
21-01-2019,20.8,29.6,23.4,83.0,6.7,6.0,6.0,300.0,2.0,W 
22-01-2019,20.8,25.8,22.4,85.0,4.4,5.5,5.0,300.0,2.0,W 
23-01-2019,20.0,26.8,23.2,81.0,5.3,0.0,6.0,280.0,4.0,NW
24-01-2019,21.0,29.0,23.7,82.0,0.4,2.4,9.0,280.0,3.0,W 
25-01-2019,20.4,27.8,23.4,75.0,5.4,5.8,5.0,280.0,2.0,W 
26-01-2019,21.0,29.2,24.6,74.0,0.4,2.9,5.0,270.0,3.0,W 
27-01-2019,21.0,25.4,23.0,84.0,8.6,7.6,5.0,260.0,3.0,W 
28-01-2019,19.2,27.4,23.0,82.0,0.2,0.0,5.0,270.0,3.0,SW
