Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2020,21.2,25.2,22.3,88.0,13.4,3.9,4.0,250.0,2.0,W 
02-01-2020,21.0,28.8,23.6,84.0,2.2,0.0,5.0,290.0,3.0,W 
03-01-2020,21.0,29.1,24.8,76.0,8888.0,5.4,5.0,300.0,3.0,NW
04-01-2020,22.0,29.4,24.4,78.0,0.0,3.1,5.0,290.0,4.0,W 
05-01-2020,22.0,28.0,24.1,81.0,0.0,3.1,7.0,270.0,3.0,W 
06-01-2020,22.2,28.6,24.4,77.0,0.0,1.0,6.0,280.0,2.0,W 
07-01-2020,21.6,28.8,23.7,83.0,3.0,4.2,4.0,240.0,1.0,SW
08-01-2020,21.9,29.0,23.8,82.0,0.3,2.5,7.0,290.0,4.0,W 
09-01-2020,21.4,25.0,22.2,92.0,6.0,2.5,4.0,360.0,2.0,W 
10-01-2020,21.1,27.4,23.4,78.0,10.0,0.0,7.0,270.0,3.0,W 
11-01-2020,21.4,28.2,23.3,76.0,8888.0,0.6,6.0,300.0,3.0,W 
12-01-2020,20.6,30.8,24.9,68.0,8888.0,0.5,5.0,240.0,3.0,W 
13-01-2020,21.0,30.6,24.8,70.0,0.0,8.4,6.0,300.0,3.0,W 
14-01-2020,21.1,31.0,24.7,80.0,0.0,7.9,5.0,270.0,3.0,W 
15-01-2020,21.0,27.8,24.2,80.0,0.0,8.7,6.0,280.0,3.0,W 
16-01-2020,21.0,30.8,24.4,76.0,8888.0,2.1,3.0,330.0,2.0,NW
17-01-2020,21.3,32.0,24.6,78.0,0.4,3.9,5.0,210.0,2.0,SE
18-01-2020,21.6,30.0,24.8,81.0,5.2,7.1,5.0,270.0,2.0,SW
19-01-2020,22.0,30.2,25.3,79.0,0.0,5.7,3.0,240.0,2.0,W 
20-01-2020,22.5,31.4,25.4,78.0,8888.0,4.6,4.0,120.0,1.0,C 
21-01-2020,22.6,30.8,25.0,82.0,0.8,4.8,4.0,280.0,1.0,C 
22-01-2020,21.0,28.8,22.7,89.0,8.0,4.3,4.0,140.0,1.0,C 
23-01-2020,21.0,28.6,23.9,85.0,25.7,2.5,3.0,220.0,1.0,C 
24-01-2020,21.0,30.0,24.2,84.0,16.0,1.2,5.0,240.0,1.0,C 
25-01-2020,21.0,28.2,23.5,89.0,41.7,4.2,3.0,280.0,1.0,C 
26-01-2020,20.5,30.0,24.1,83.0,50.9,1.6,5.0,210.0,2.0,SE
27-01-2020,21.5,29.0,23.1,90.0,0.2,5.5,5.0,140.0,1.0,C 
28-01-2020,19.8,28.2,22.7,87.0,10.2,2.7,2.0,90.0,0.0,C 
29-01-2020,19.8,29.0,23.3,86.0,10.2,2.5,5.0,300.0,2.0,C 
30-01-2020,20.4,29.8,23.9,80.0,3.4,3.7,4.0,270.0,1.0,C 
31-01-2020,20.2,28.6,23.8,80.0,0.0,1.9,5.0,320.0,2.0,W 
01-02-2020,21.2,29.4,23.4,84.0,8888.0,2.6,5.0,240.0,2.0,W 
02-02-2020,21.3,28.4,23.6,84.0,5.0,3.1,5.0,290.0,2.0,W 
03-02-2020,21.2,29.9,24.5,78.0,0.0,3.9,5.0,280.0,2.0,W 
04-02-2020,21.4,29.4,23.7,86.0,26.4,6.2,7.0,240.0,2.0,C 
05-02-2020,20.6,29.0,23.2,86.0,32.3,3.6,3.0,210.0,1.0,C 
06-02-2020,20.6,28.8,23.3,87.0,84.5,3.5,5.0,270.0,1.0,C 
07-02-2020,20.7,29.4,23.3,84.0,1.1,2.7,4.0,240.0,1.0,C 
08-02-2020,20.7,26.8,23.4,83.0,13.2,4.2,5.0,300.0,2.0,W 
09-02-2020,20.0,29.8,24.0,80.0,0.2,1.8,5.0,320.0,2.0,W 
10-02-2020,21.0,31.0,24.9,73.0,8888.0,5.5,8.0,310.0,3.0,C 
11-02-2020,22.0,29.4,24.0,77.0,8888.0,5.4,5.0,210.0,1.0,C 
12-02-2020,21.0,32.2,24.5,80.0,8888.0,2.3,2.0,230.0,1.0,C 
13-02-2020,20.8,28.4,23.4,88.0,8.0,5.5,3.0,130.0,1.0,C 
14-02-2020,20.8,28.0,22.8,88.0,6.2,2.1,2.0,270.0,0.0,C 
15-02-2020,20.6,30.6,23.6,86.0,46.0,3.0,5.0,150.0,1.0,C 
16-02-2020,19.7,29.4,22.5,86.0,24.0,2.9,5.0,290.0,2.0,C 
17-02-2020,19.8,29.8,21.8,91.0,17.0,1.2,5.0,270.0,1.0,C 
18-02-2020,20.0,28.6,23.1,85.0,13.9,2.7,2.0,280.0,1.0,C 
19-02-2020,20.4,30.0,23.3,84.0,4.2,0.5,5.0,270.0,2.0,W 
20-02-2020,20.3,26.8,22.2,90.0,0.5,5.4,6.0,330.0,3.0,NW
21-02-2020,21.4,28.2,23.8,81.0,7.1,0.4,6.0,290.0,3.0,W 
22-02-2020,20.4,30.4,23.9,82.0,0.0,3.9,6.0,240.0,3.0,SW
23-02-2020,21.0,29.4,24.7,80.0,8888.0,3.0,6.0,240.0,4.0,SW
24-02-2020,21.6,26.4,23.0,87.0,5.0,0.8,5.0,270.0,3.0,W 
25-02-2020,21.2,28.0,23.2,86.0,11.6,0.0,4.0,270.0,2.0,W 
26-02-2020,21.0,30.4,24.0,84.0,8888.0,0.0,5.0,290.0,2.0,W 
27-02-2020,21.0,29.6,24.5,82.0,5.6,1.2,7.0,210.0,3.0,SW
28-02-2020,22.0,31.0,24.5,84.0,0.5,0.0,6.0,240.0,2.0,C 
29-02-2020,21.8,31.0,25.0,81.0,24.3,0.7,5.0,240.0,2.0,SW
01-03-2020,21.8,30.4,24.7,84.0,8888,1.5,5.0,280.0,2.0,W 
02-03-2020,22.1,30.0,25.1,76.0,2,3.5,5.0,300.0,2.0,W 
03-03-2020,20.0,30.8,23.8,78.0,0.5,5.3,5.0,270.0,2.0,W 
