TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
24.0,29.4,26.8,83.0,9.1,2.0,4.0,280.0,2.0
25.0,29.8,27.0,81.0,8.2,2.0,4.0,290.0,2.0
25.0,30.8,26.7,83.0,11.2,0.7,4.0,260.0,1.0
24.0,31.0,27.0,82.0,50.2,1.0,6.0,290.0,2.0
25.0,31.8,27.0,82.0,1.6,3.5,4.0,240.0,2.0
24.0,30.4,26.6,80.0,30.2,1.0,4.0,260.0,1.0
23.0,30.2,24.7,94.0,33.0,2.1,3.0,270.0,0.0
24.0,28.6,26.4,82.0,26.9,0.5,5.0,200.0,2.0
23.0,29.9,26.4,83.0,11.7,0.0,3.0,210.0,0.0
24.0,31.0,26.3,83.0,7.8,2.5,3.0,340.0,1.0
24.0,30.0,26.2,87.0,0.5,2.7,4.0,20.0,0.0
23.0,31.2,27.2,83.0,4.5,0.0,4.0,360.0,1.0
24.0,31.1,26.7,82.0,0.0,5.0,5.0,350.0,2.0
25.0,29.4,27.5,82.0,0.0,5.0,3.0,300.0,1.0
25.0,30.0,27.6,80.0,0.0,1.7,3.0,20.0,0.0
26.0,30.4,27.4,62.0,3.8,2.0,5.0,200.0,3.0
23.0,28.3,25.8,86.0,32.0,4.5,5.0,270.0,2.0
24.0,27.6,25.8,87.0,0.2,0.0,4.0,270.0,2.0
25.0,31.0,26.5,80.0,1.5,0.0,5.0,250.0,2.0
24.0,30.6,26.9,77.0,27.0,2.0,5.0,170.0,3.0
24.0,28.9,26.4,85.0,0.3,0.0,6.0,300.0,2.0
25.0,30.0,27.1,76.0,2.4,2.0,5.0,240.0,2.0
24.0,31.0,27.8,74.0,68.0,2.3,5.0,280.0,2.0
25.0,29.4,26.8,86.0,0.0,5.5,7.0,180.0,3.0
23.0,30.3,27.5,84.0,94.8,0.0,5.0,310.0,2.0
23.0,28.4,25.2,90.0,12.0,2.0,5.0,260.0,3.0
25.0,29.0,25.3,92.0,11.0,0.0,6.0,290.0,2.0
25.0,29.6,26.7,78.0,0.0,0.0,5.0,160.0,2.0
24.0,32.0,28.4,73.0,10.8,4.0,4.0,310.0,2.0
24.0,28.4,26.2,91.0,4.3,6.0,3.0,260.0,1.0
24.0,29.0,26.4,88.0,27.1,0.0,5.0,315.0,2.0
24.4,29.2,27.0,86.0,25.6,0.0,4.0,280.0,2.0
24.7,29.8,27.1,82.0,21.0,1.0,4.0,290.0,2.0
23.0,30.2,25.8,88.0,34.4,6.0,4.0,280.0,1.0
23.0,30.6,25.8,88.0,16.7,2.3,5.0,270.0,1.0
24.0,30.2,26.5,85.0,2.3,6.3,4.0,270.0,1.0
24.0,29.8,25.6,91.0,37.9,5.0,4.0,300.0,2.0
24.0,28.4,25.1,91.0,3.5,2.0,5.0,280.0,1.0
23.0,28.1,26.2,90.0,55.3,0.0,2.0,100.0,0.0
